username,bio,followers,following,posts,account_age_days,has_profile_pic,has_url,is_fake
david_97,Dreamer & doer ✨ | fitness | London,185,184,50,762,1,1,0
sarahtorres,Mom of 3 | yoga | Coffee addict ☕,414,25,35,221,1,0,0
the_elena,Bookworm 📚 | dance | reading | Introvert at heart,570,328,92,2013,0,1,0
vomu2970olj,Click link in bio for FREE money 💰💰💰,2,178,8,33,1,1,1
x7yofcx7culoqvbv,Buy followers cheap! DM for prices!,38,134,1,17,0,1,1
eteb4502pnq,I make $10k/week! Ask me how 💵💵💵,24,86,4,79,0,0,1
follow_me_047277,Follow 4 Follow! Like 4 Like! 💯💯💯,15,91,0,11,0,0,1
xc7h81jmbptpdwr1,FREE followers! Click the link NOW!!!,10,1868,5,53,0,1,1
the_skylar,curious | camping | camping | London 📍,429,214,133,1086,1,0,0
user240592,Make $5000/day working from home! Link below 👇,7,225,0,26,1,1,1
aiden_93,🎓 Oxford alum | Artist | LA,60,3414,9,555,1,1,0
savannah_hernandez,Living life one cooking at a time 🏔️,10,98,42,1311,1,0,0
davidthompson99,Accountant | writing enthusiast | Living my best life ✨,38,774,33,1315,1,0,0
audreyperez,Consultant 💼 | Family first ❤️ | hiking,787,286,247,945,1,0,0
elena_94,creative | baking | hiking | Paris 📍,177,172,74,1461,1,1,0
claire_95,Mom of 3 | meditation | Coffee addict ☕,363,654,1,912,1,0,0
aidenmoore,Bookworm 📚 | skateboarding | dance | Introvert at heart,42,225,8,2167,1,1,0
hannahanderson67,Dreamer & doer ✨ | music | Toronto,222,624,19,350,1,1,0
hazelsanchez,🎵 Music lover | Software Engineer | cooking,122,426,247,415,1,0,0
zg4c4epzl4j4x0,Want to lose 20lbs fast?? DM me!!!,25,486,4,80,1,1,1
graysonflores,Love writing and hiking 🌟 | Toronto based,837,175,57,814,1,1,0
jav18933787,Click link in bio for FREE money 💰💰💰,47,244,6,11,1,1,1
jcxg9832wwh,,3,5291,6,33,0,0,1
user891317,Invest in crypto NOW! Double your money! 🚀🚀🚀,53,156,0,16,0,1,1
real_rrlfqf3886,,3,968,1,48,1,0,1
xn9uhjpkhf33guwy,Crypto millionaire 💎🙌 Join my course!,23,533,0,7,0,0,1
user380678,Invest in crypto NOW! Double your money! 🚀🚀🚀,8,50,1,5,0,0,1
free_qmpsz_862,I make $10k/week! Ask me how 💵💵💵,0,81,8,56,0,1,1
real_lvfxmy5486,I make $10k/week! Ask me how 💵💵💵,5,993,2,4,0,1,1
emmatorres,Creative mind | yoga | skiing | Let's connect!,58,288,6,1072,1,0,0
real_dkvtwu6932,DM me for exclusive offers!!!,6,1567,1,22,0,1,1
ellalee,Creative mind | cooking | yoga | Let's connect!,496,195,80,992,1,0,0
real_vlgbmf6042,Hot singles in your area 😍 DM NOW,27,393,0,60,0,1,1
riley.nguyen.official,🎵 Music lover | Artist | camping,2866,4238,8,1978,1,0,0
jack_taylor,Wanderlust 🌎 | meditation | gardening | LA,251,68,158,796,1,0,0
free_yqhug_414,,10,468,0,78,1,0,1
alqx8809wdr,Follow me I follow back! F4F! 🔥🔥🔥,3,3479,1,9,1,1,1
izyt6185axy,,16,122,3,21,0,1,1
hqgoxaiqusy2o33,DM me for exclusive offers!!!,17,429,3,16,0,0,1
the_emma,"Life is short, eat dessert first 🍰 | skiing",29,184,97,494,1,1,0
wbb32673695,Make $5000/day working from home! Link below 👇,2,464,1,4,0,1,1
andrew_white,🎓 Stanford alum | Artist | LA,2931,111,15,1539,1,0,0
xd3hhgwhp08d2qla,....,11,818,0,9,0,1,1
aurora_scott,Bookworm 📚 | meditation | swimming | Introvert at heart,1188,70,779,304,1,0,0
hazel_92,📍Berlin | cooking & fitness | DM for collabs,1271,413,87,558,1,0,0
the_aaliyah,🎓 Harvard alum | Designer | Seattle,305,75,14,892,1,0,0
xu6l5nfltq680cog,Buy followers cheap! DM for prices!,5,257,14,9,1,1,1
ella_95,"Architect by day, fitness lover by night 🌙",1268,112,11,118,1,0,0
hazel.moore,Wanderlust 🌎 | skiing | fitness | Sydney,406,54,9,1847,1,0,0
xqepyohakc37wmfp,,16,50,0,65,1,0,1
real_cwibdn4221,DM me for exclusive offers!!!,14,930,4,5,0,1,1
madison.young,Fitness & wellness 💪 | gaming | Miami,199,472,42,409,1,0,0
noahthompson,Just a chill soul exploring the world 🌍 | camping,96,39,3,4127,1,0,0
graysonmartinez9,Mom of 2 | fitness | Coffee addict ☕,243,152,19,345,1,0,0
xthktgyleyo3hli3,,10,126,0,28,0,0,1
free_oltzf_339,Crypto millionaire 💎🙌 Join my course!,4,451,3,18,0,1,1
jaxon.scott,Creative mind | yoga | painting | Let's connect!,73,168,30,188,1,0,0
msa45336445,.,11,7500,0,35,0,1,1
follow_me_095934,,5,50,3,4,1,1,1
julian_91,📍Barcelona | gardening & fitness | DM for collabs,170,553,41,617,1,0,0
user122508,Click link in bio for FREE money 💰💰💰,23,92,2,2,0,1,1
x5uujzr0fcybr3o9,.,14,115,2,10,1,1,1
x75d3nmyb4bomzqb,Adult content 🔞 Link below for more,34,6290,1,14,0,0,1
the_owen,Consultant 💼 | Family first ❤️ | travel,159,545,347,87,1,1,0
user629241,Hot singles in your area 😍 DM NOW,1,313,2,10,0,1,1
ava_90,Just a ambitious soul exploring the world 🌍 | painting,773,113,63,2352,1,1,0
follow_me_980133,FREE followers! Click the link NOW!!!,2,154,0,21,0,1,1
real_fryagv8998,Invest in crypto NOW! Double your money! 🚀🚀🚀,18,100,0,2,0,1,1
ool35658617,Want to lose 20lbs fast?? DM me!!!,3,654,3,7,0,1,1
oliviamoore,Artist 💼 | Family first ❤️ | painting,351,197,86,632,1,0,0
dylanclark,Mom of 3 | yoga | Coffee addict ☕,117,92,34,878,0,1,0
kpxh5080qxs,Buy followers cheap! DM for prices!,24,292,7,1,0,1,1
follow_me_199355,,13,282,1,56,0,1,1
free_muopv_926,DM me for exclusive offers!!!,10,192,5,48,1,1,1
the_mia,Creative mind | meditation | cooking | Let's connect!,42,148,396,417,1,0,0
henrytorres,Mom of 3 | writing | Coffee addict ☕,1381,27,20,478,1,1,0
lincolnperez58,📸 reading | Travel addict | Miami native,609,48,84,312,1,0,0
emma.king,🎓 Oxford alum | Software Engineer | Toronto,1963,123,52,436,1,1,0
xq825q30zx815g5f,Buy followers cheap! DM for prices!,13,2168,1,70,0,1,1
real_cfsxiz0250,Want to lose 20lbs fast?? DM me!!!,2,65,2,2,1,1,1
naomi_moore,ambitious | running | photography | Chicago 📍,233,343,38,152,1,0,0
avery.brown.official,Mom of 2 | camping | Coffee addict ☕,94,77,17,410,1,0,0
jack_91,Fitness & wellness 💪 | surfing | Miami,377,56,6,1833,1,1,0
charlottelee,Fitness & wellness 💪 | meditation | San Francisco,99,279,58,614,1,1,0
zxre6140uxj,DM me for exclusive offers!!!,7,1235,7,109,1,0,1
free_zoeeu_852,Adult content 🔞 Link below for more,13,2084,0,64,0,0,1
real_vrbvns0421,,103,603,2,114,1,1,1
ruby_wright,Love yoga and painting 🌟 | Sydney based,85,38,27,1051,1,1,0
free_ffzvf_638,Buy followers cheap! DM for prices!,12,350,6,31,1,1,1
naomi.clark.official,Living life one travel at a time 🏔️,4320,149,42,403,1,0,0
sarah_98,🎓 MIT alum | Chef | Denver,556,313,24,977,0,0,0
theodore.wilson,Fitness & wellness 💪 | fitness | Chicago,239,210,37,534,1,0,0
yiukeuf5c1gxskouzxn,Want to lose 20lbs fast?? DM me!!!,7,592,3,1,0,1,1
joshuajones,Living life one yoga at a time 🏔️,3648,49,3,1032,1,1,0
anna_92,Nurse 💼 | Family first ❤️ | travel,669,224,13,585,1,0,0
user545555,Click link in bio for FREE money 💰💰💰,7,216,2,7,0,1,1
anna_harris,📸 cycling | Travel addict | Miami native,433,658,74,1215,1,0,0
amelia_93,Fitness & wellness 💪 | skateboarding | San Francisco,1398,71,44,703,1,0,0
real_gesmae4504,Hot singles in your area 😍 DM NOW,5,7500,0,25,0,1,1
the_madison,Entrepreneur | cooking enthusiast | Living my best life ✨,90,385,15,366,1,1,0
ymi82819620,Crypto millionaire 💎🙌 Join my course!,29,665,1,5,1,1,1
user456710,Adult content 🔞 Link below for more,1,602,3,138,1,1,1
stellalewis,Bookworm 📚 | baking | skiing | Introvert at heart,1523,25,39,635,1,0,0
jpqg6815eix,Make $5000/day working from home! Link below 👇,0,637,12,48,0,1,1
follow_me_819559,CHEAP followers and likes! Best prices! DM!!!,19,56,2,26,0,1,1
x0qtxxwcetgv46q7,.,61,358,9,82,0,1,1
lbz5ntdywm8rabr6rtc,Make $5000/day working from home! Link below 👇,9,106,0,33,1,1,1
zhca4443sva,Make $5000/day working from home! Link below 👇,46,504,1,112,0,1,1
free_orhmv_324,I make $10k/week! Ask me how 💵💵💵,52,287,1,3,0,1,1
avawright26,Wanderlust 🌎 | painting | swimming | London,126,657,33,291,1,0,0
olivia.perez.official,"Life is short, eat dessert first 🍰 | travel",1029,82,34,839,1,1,0
sebastian.young,Bookworm 📚 | painting | photography | Introvert at heart,41,326,69,1332,1,0,0
penelope.walker,🎓 Harvard alum | Teacher | NYC,104,50,94,808,0,1,0
user796117,FREE followers! Click the link NOW!!!,4,695,0,1,1,0,1
owenjackson,creative | swimming | meditation | Miami 📍,73,45,13,577,1,0,0
riley.lee,Teacher 💼 | Family first ❤️ | dance,158,748,1,402,1,0,0
evelyn_93,Bookworm 📚 | gardening | travel | Introvert at heart,107,248,11,964,1,1,0
piperyoung,Dog parent 🐕 | Doctor | travel fanatic,547,593,78,287,1,1,0
william_lewis,"Photographer by day, cycling lover by night 🌙",103,78,58,2072,1,1,0
puc35220037,Hot singles in your area 😍 DM NOW,1,53,2,29,0,1,1
the_ella,Artist 💼 | Family first ❤️ | music,2164,879,17,465,1,1,0
david.robinson.official,Dog parent 🐕 | Nurse | baking fanatic,408,857,92,508,1,0,0
real_xqmola9404,,9,1723,4,69,0,1,1
paisley_hill,Dog parent 🐕 | Consultant | music fanatic,56,192,56,956,1,1,0
logan.walker.official,Fitness & wellness 💪 | travel | LA,236,250,32,830,1,1,0
the_benjamin,Dreamer & doer ✨ | music | NYC,132,66,72,324,1,0,0
the_jack,"Life is short, eat dessert first 🍰 | baking",37,159,16,453,1,0,0
follow_me_253978,Click link in bio for FREE money 💰💰💰,9,186,0,64,0,1,1
nora.white.official,adventurous | baking | surfing | Barcelona 📍,53,80,7,2355,1,1,0
sarahgonzalez,Photographer 💼 | Family first ❤️ | baking,27,195,116,632,1,0,0
the_jack,🎓 Columbia alum | Writer | Dubai,583,89,92,599,0,1,0
upt96680477,I make $10k/week! Ask me how 💵💵💵,33,1006,6,69,0,1,1
sebastian.king,Bookworm 📚 | reading | dance | Introvert at heart,153,570,1,695,1,0,0
user210146,CHEAP followers and likes! Best prices! DM!!!,5,5494,2,57,0,1,1
qak28028379,DM me for exclusive offers!!!,12,1004,6,28,0,0,1
averyanderson,Wanderlust 🌎 | fitness | music | Sydney,565,14,23,688,1,0,0
noah.garcia,Writer | skateboarding enthusiast | Living my best life ✨,5514,265,55,514,1,0,0
naomimoore88,Dreamer & doer ✨ | painting | Dubai,12,257,5,296,1,0,0
matthew_rodriguez,📍Berlin | reading & cooking | DM for collabs,771,36,47,783,1,0,0
the_adrian,"Life is short, eat dessert first 🍰 | music",30,101,115,237,1,1,0
qkqx6163vys,Follow me I follow back! F4F! 🔥🔥🔥,32,1104,1,19,0,1,1
madelyn.ramirez,Love skiing and writing 🌟 | Austin based,449,51,99,2730,0,0,0
free_afklt_225,CHEAP followers and likes! Best prices! DM!!!,33,483,5,78,0,1,1
sjx15638045,Click link in bio for FREE money 💰💰💰,1,3464,5,5,0,1,1
levi_90,🎵 Music lover | Marketing Lead | running,787,672,176,519,1,1,0
eca53598531,....,19,362,12,5,1,1,1
lily_95,"Life is short, eat dessert first 🍰 | meditation",896,54,22,996,1,1,0
jack.harris.official,Love meditation and gaming 🌟 | San Francisco based,235,97,81,288,1,0,0
nve31733341,I make $10k/week! Ask me how 💵💵💵,41,203,2,32,1,1,1
liam_99,Spreading positivity ☀️ | Data Analyst | skiing,71,112,94,226,1,0,0
cx67xkwq0ywm9q7ftmfw,Hot singles in your area 😍 DM NOW,26,1249,1,21,0,1,1
the_samuel,Dreamer & doer ✨ | photography | Berlin,11353,103,41,427,1,0,0
follow_me_522987,CHEAP followers and likes! Best prices! DM!!!,31,804,0,52,0,1,1
wyatt.allen,Love swimming and writing 🌟 | Barcelona based,30,457,327,330,1,0,0
follow_me_678543,Hot singles in your area 😍 DM NOW,31,170,1,17,0,1,1
charlotte.smith.official,Nurse | running enthusiast | Living my best life ✨,3017,137,2,511,1,0,0
free_cbkhq_336,I make $10k/week! Ask me how 💵💵💵,3,528,0,21,0,0,1
follow_me_618747,,20,134,5,6,0,1,1
follow_me_119924,Hot singles in your area 😍 DM NOW,18,233,0,9,0,0,1
xfywm5cfv2vyn1kj,,10,253,2,29,0,1,1
jhs83357090,CHEAP followers and likes! Best prices! DM!!!,48,1165,2,13,0,1,1
user576283,Hot singles in your area 😍 DM NOW,4,266,0,20,0,1,1
savannah.allen,Love camping and skiing 🌟 | Miami based,19,30,6,264,1,0,0
real_vxndru1757,.,2,997,1,37,1,0,1
the_logan,Lawyer 💼 | Family first ❤️ | cooking,3364,460,24,311,1,0,0
the_jayden,Fitness & wellness 💪 | surfing | NYC,423,2005,30,750,1,0,0
user647622,.,45,2175,4,44,0,0,1
the_avery,📸 skateboarding | Travel addict | Tokyo native,25974,332,26,3283,1,0,0
julian.lopez.official,Wanderlust 🌎 | skateboarding | cooking | Denver,564,59,44,1854,1,0,0
follow_me_219051,CHEAP followers and likes! Best prices! DM!!!,25,193,1,17,0,1,1
xe0klliro7yy0kz6,DM me for exclusive offers!!!,42,340,6,30,0,0,1
mason_99,Bookworm 📚 | cooking | reading | Introvert at heart,775,98,51,691,1,0,0
samuelhill,happy | photography | cooking | Denver 📍,390,3939,126,1054,1,0,0
emmathomas,🎵 Music lover | Architect | hiking,249,151,29,1627,1,0,0
the_elijah,🎵 Music lover | Entrepreneur | swimming,13,178,14,678,1,1,0
ezr08416102,I make $10k/week! Ask me how 💵💵💵,20,559,4,34,1,0,1
piper_johnson,Just a adventurous soul exploring the world 🌍 | skiing,85,175,277,1668,1,0,0
c7qk4k6ilsidbx28,Hot singles in your area 😍 DM NOW,5,216,2,21,0,0,1
joseph_97,Bookworm 📚 | dance | camping | Introvert at heart,139,142,3,2449,1,0,0
bella.garcia.official,Fitness & wellness 💪 | music | London,48,979,95,396,1,0,0
free_cpudq_791,Click link in bio for FREE money 💰💰💰,2,50,0,26,0,1,1
the_aurora,Just a chill soul exploring the world 🌍 | fitness,78,75,37,141,1,0,0
follow_me_209312,,12,4390,1,5,0,1,1
real_osusth0385,Invest in crypto NOW! Double your money! 🚀🚀🚀,55,509,6,13,0,1,1
puid7692kzo,Crypto millionaire 💎🙌 Join my course!,7,68,2,14,1,1,1
eod56358697,....,85,128,0,3,0,1,1
166xtf52bwhnybjk8jv7,Adult content 🔞 Link below for more,0,130,3,3,0,1,1
the_isabella,"Writer by day, baking lover by night 🌙",94,219,47,300,1,0,0
jacksonmiller,Architect | cooking enthusiast | Living my best life ✨,46,234,42,347,1,0,0
real_ofgqsq5998,CHEAP followers and likes! Best prices! DM!!!,2,799,3,8,0,1,1
dnm24963366,....,12,911,4,41,0,1,1
real_fkthye8408,Follow 4 Follow! Like 4 Like! 💯💯💯,27,256,1,5,0,1,1
xip3tvf51z58b4jw,CHEAP followers and likes! Best prices! DM!!!,6,615,3,22,1,1,1
andrew.perez,Wanderlust 🌎 | dance | baking | NYC,101,60,90,663,1,0,0
follow_me_880172,Hot singles in your area 😍 DM NOW,6,187,0,32,0,1,1
user615711,Hot singles in your area 😍 DM NOW,4,315,2,40,1,0,1
anna.taylor.official,Designer | skateboarding enthusiast | Living my best life ✨,48,718,48,1344,1,0,0
aaliyah_96,Spreading positivity ☀️ | Software Engineer | skiing,146,239,17,2837,1,1,0
follow_me_580481,I make $10k/week! Ask me how 💵💵💵,4,826,0,7,0,1,1
real_tausob9936,Follow 4 Follow! Like 4 Like! 💯💯💯,22,775,5,34,1,1,1
namc1623vet,Follow me I follow back! F4F! 🔥🔥🔥,0,68,1,19,0,1,1
follow_me_332726,Follow 4 Follow! Like 4 Like! 💯💯💯,21,257,1,4,1,0,1
user728692,.,1,1837,0,16,1,1,1
user377033,Want to lose 20lbs fast?? DM me!!!,1,1404,9,26,1,1,1
the_aurora,📸 gardening | Travel addict | Paris native,109,614,11,992,1,0,0
78cuhcztgzohc7tbh6go,FREE followers! Click the link NOW!!!,4,1386,3,15,1,0,1
lucamiller,Bookworm 📚 | skateboarding | surfing | Introvert at heart,691,50,255,796,1,0,0
xus73w1yaua8d720,Buy followers cheap! DM for prices!,5,207,4,6,0,1,1
ruby.lopez,Fitness & wellness 💪 | skiing | Barcelona,332,85,6,183,1,0,0
evelynclark42,passionate | dance | yoga | LA 📍,132,106,47,550,1,0,0
free_meaep_884,Adult content 🔞 Link below for more,27,113,1,6,0,0,1
follow_me_778911,CHEAP followers and likes! Best prices! DM!!!,35,162,1,27,1,1,1
audrey.torres.official,Fitness & wellness 💪 | writing | Chicago,68,95,113,980,1,0,0
free_irvfl_817,Make $5000/day working from home! Link below 👇,8,281,2,30,1,0,1
qgdd7574ocf,Click link in bio for FREE money 💰💰💰,1,116,7,37,0,0,1
g76rwr3s18wk501epe,Free gift cards! Limited time offer! Click NOW!,21,50,4,29,0,1,1
the_luca,Fitness & wellness 💪 | gaming | Berlin,755,399,11,1659,1,0,0
41zblm576m2yvp,....,12,50,0,33,1,1,1
jr1ov9cpwrutvlyjmwu,Adult content 🔞 Link below for more,0,890,0,1,0,1,1
user514734,.,4,1433,1,38,0,1,1
jhy3m2i3qm6dtecafv,CHEAP followers and likes! Best prices! DM!!!,25,4174,1,5,1,0,1
free_jkpvt_495,FREE followers! Click the link NOW!!!,7,93,0,27,0,1,1
dylanperez,Living life one photography at a time 🏔️,286,73,6,2425,1,0,0
violetdavis69,Architect 💼 | Family first ❤️ | painting,825,400,4,597,1,0,0
user619257,FREE followers! Click the link NOW!!!,40,4400,2,9,1,1,1
tcn74392301,Follow 4 Follow! Like 4 Like! 💯💯💯,0,126,0,38,1,0,1
zoeythomas47,Dreamer & doer ✨ | dance | LA,62,29,23,180,0,0,0
axnc5364gbd,....,37,50,1,17,0,0,1
clairedavis,Mom of 2 | baking | Coffee addict ☕,11,62,328,476,1,1,0
szmu8122xtn,Buy followers cheap! DM for prices!,62,713,1,32,0,1,1
free_kbipf_859,,10,1335,5,3,1,1,1
08vydwox06zxunhu25z8,Free gift cards! Limited time offer! Click NOW!,18,71,0,1,0,1,1
xv4kfq5dz53x1f8s,....,20,2715,2,4,1,0,1
henry.young,"Nurse by day, cycling lover by night 🌙",871,161,20,601,1,0,0
the_oliver,Spreading positivity ☀️ | Marketing Lead | gaming,2164,47,76,552,1,0,0
chloe_scott,Entrepreneur | dance enthusiast | Living my best life ✨,272,195,27,631,1,0,0
carter_92,happy | gaming | camping | Seattle 📍,78,20,138,801,1,0,0
xf1ttimlytgvkymz,Want to lose 20lbs fast?? DM me!!!,3,7500,2,59,0,1,1
xy5evszzsu8e6xfw,Click link in bio for FREE money 💰💰💰,1,129,0,23,0,1,1
layla_rodriguez,Love running and running 🌟 | Dubai based,41,761,21,190,1,0,0
follow_me_464095,DM me for exclusive offers!!!,8,181,10,1,0,1,1
real_obbzig5862,,10,240,4,120,0,1,1
ellascott,Dreamer & doer ✨ | yoga | London,46,481,177,2601,1,1,0
7yj8hqde7m7h6oq7qh,Hot singles in your area 😍 DM NOW,39,502,5,2,1,1,1
lnqi2367rng,DM me for exclusive offers!!!,10,2043,2,21,0,1,1
follow_me_442017,,4,50,0,23,0,1,1
daniel_95,📸 dance | Travel addict | Seattle native,476,599,15,255,1,1,0
alexanderwilson,Spreading positivity ☀️ | Nurse | music,327,50,46,859,1,1,0
vkxx1640iam,CHEAP followers and likes! Best prices! DM!!!,20,126,1,41,1,1,1
savannah_98,Creative mind | meditation | travel | Let's connect!,25,851,285,782,1,0,0
ethansanchez49,Spreading positivity ☀️ | Artist | gaming,1328,211,22,269,1,0,0
asher_93,adventurous | camping | cooking | Paris 📍,80,35,375,478,1,0,0
alice.nguyen,Living life one camping at a time 🏔️,364,648,27,4856,1,0,0
